11-20-2024 22:39:18 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,1%@1497,1%@1497,1%@1497,100%@1497,0%@1497,0%@1497,0%@1497,5%@729,8%@729,6%@729,9%@729] GR3D_FREQ 39% cpu@39.5C soc2@35.75C soc0@35.937C gpu@34.281C tj@39.5C soc1@35.5C VDD_GPU_SOC 2789mW/2977mW VDD_CPU_CV 1196mW/1231mW VIN_SYS_5V0 3410mW/3427mW
11-20-2024 22:39:19 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,2%@729,6%@729,2%@729,100%@1497,0%@1497,0%@1497,0%@1497,5%@729,10%@729,5%@729,7%@729] GR3D_FREQ 28% cpu@39.562C soc2@35.812C soc0@35.906C gpu@34.093C tj@39.562C soc1@35.531C VDD_GPU_SOC 3188mW/2983mW VDD_CPU_CV 1196mW/1230mW VIN_SYS_5V0 3410mW/3426mW
11-20-2024 22:39:20 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@806,4%@806,9%@806,11%@806,90%@729,1%@729,2%@729,1%@729,1%@729,0%@729,10%@729,1%@729] GR3D_FREQ 0% cpu@39.156C soc2@35.75C soc0@35.75C gpu@34.062C tj@39.156C soc1@35.687C VDD_GPU_SOC 2789mW/2978mW VDD_CPU_CV 1196mW/1229mW VIN_SYS_5V0 3511mW/3429mW
11-20-2024 22:39:21 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.718C soc0@35.843C gpu@34.187C tj@39C soc1@35.562C VDD_GPU_SOC 2391mW/2962mW VDD_CPU_CV 398mW/1207mW VIN_SYS_5V0 3104mW/3420mW
11-20-2024 22:39:22 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.093C soc2@35.593C soc0@35.843C gpu@34.218C tj@39.093C soc1@35.531C VDD_GPU_SOC 2391mW/2947mW VDD_CPU_CV 398mW/1185mW VIN_SYS_5V0 3004mW/3409mW
11-20-2024 22:39:23 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.75C soc0@35.718C gpu@34.281C tj@39C soc1@35.562C VDD_GPU_SOC 2391mW/2933mW VDD_CPU_CV 398mW/1165mW VIN_SYS_5V0 3004mW/3399mW
11-20-2024 22:39:24 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.656C soc0@35.75C gpu@34.25C tj@39C soc1@35.562C VDD_GPU_SOC 2391mW/2919mW VDD_CPU_CV 398mW/1146mW VIN_SYS_5V0 3004mW/3389mW
11-20-2024 22:39:25 RAM 2535/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,2%@729,1%@729,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.937C soc2@35.625C soc0@35.75C gpu@34.062C tj@38.937C soc1@35.718C VDD_GPU_SOC 2391mW/2906mW VDD_CPU_CV 398mW/1128mW VIN_SYS_5V0 3205mW/3384mW
11-20-2024 22:39:26 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@729,2%@729,1%@729,4%@729,0%@729,5%@729,0%@729,0%@729,5%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.656C soc0@35.812C gpu@34.062C tj@39C soc1@35.531C VDD_GPU_SOC 2391mW/2894mW VDD_CPU_CV 398mW/1110mW VIN_SYS_5V0 3104mW/3378mW
11-20-2024 22:39:27 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,4%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.031C soc2@35.75C soc0@35.687C gpu@34.312C tj@39.031C soc1@35.531C VDD_GPU_SOC 2391mW/2882mW VDD_CPU_CV 398mW/1094mW VIN_SYS_5V0 3205mW/3374mW
