Inference Count,Inference Time (ms),End-to-End Time (ms),FPS
552,631.293,715.52,1.584050512
553,631.263,715.49,1.584125792
554,631.244,715.471,1.584173473
555,631.244,715.471,1.584173473
556,631.305,715.551,1.584020402
557,631.324,715.52,1.58397273
558,631.263,715.52,1.584125792
559,631.324,715.52,1.58397273
560,631.294,715.49,1.584048003
561,631.275,715.441,1.584095679
562,631.275,715.227,1.584095679
563,631.305,717.168,1.584020402
564,631.232,716.192,1.584203589
565,631.233,717.016,1.584201079
566,631.324,717.047,1.58397273
567,631.263,716.406,1.584125792
568,631.275,715.532,1.584095679
569,631.244,715.471,1.584173473
570,631.244,715.49,1.584173473
571,631.324,715.551,1.58397273
572,631.293,715.52,1.584050512
573,631.263,715.52,1.584125792
574,631.293,715.49,1.584050512
575,631.275,715.532,1.584095679
576,631.275,715.532,1.584095679
577,631.263,715.521,1.584125792
578,631.293,715.52,1.584050512
579,631.263,715.49,1.584125792
580,631.324,715.551,1.58397273
581,631.294,716.283,1.584048003
582,631.305,716.57,1.584020402
583,631.305,715.532,1.584020402
584,631.355,715.551,1.583894956
585,631.263,715.521,1.584125792
586,631.324,715.521,1.58397273
587,631.293,715.551,1.584050512
588,631.294,715.551,1.584048003
589,631.306,715.655,1.584017893
590,631.305,715.532,1.584020402
591,631.293,715.52,1.584050512
592,631.324,715.551,1.58397273
593,631.293,715.52,1.584050512
594,631.293,715.551,1.584050512
595,631.293,715.49,1.584050512
596,631.305,715.532,1.584020402
597,631.244,715.471,1.584173473
598,631.324,715.551,1.58397273
599,631.294,715.49,1.584048003
600,631.324,715.52,1.58397273
601,631.293,715.52,1.584050512
602,631.294,715.52,1.584048003
603,631.275,715.471,1.584095679
604,631.275,715.532,1.584095679
605,631.263,715.49,1.584125792
606,631.263,715.49,1.584125792
607,631.293,715.521,1.584050512
608,631.294,715.521,1.584048003
609,631.355,715.582,1.583894956
610,631.275,715.502,1.584095679
611,631.305,715.502,1.584020402
612,631.294,715.49,1.584048003
613,631.294,715.52,1.584048003
614,631.263,715.459,1.584125792
615,631.294,715.49,1.584048003
616,631.293,715.49,1.584050512
617,631.244,715.471,1.584173473
618,631.274,715.471,1.584098189
619,631.324,715.551,1.58397273
620,631.324,715.52,1.58397273
621,631.293,715.52,1.584050512
622,631.324,715.52,1.58397273
623,631.294,715.52,1.584048003
624,631.306,715.532,1.584017893
625,631.245,715.441,1.584170964
626,631.325,715.551,1.583970221
627,631.263,715.49,1.584125792
628,631.293,715.52,1.584050512
629,631.293,715.49,1.584050512
630,631.263,715.49,1.584125792
631,631.305,715.502,1.584020402
632,631.275,715.502,1.584095679
633,631.355,715.551,1.583894956
634,631.263,715.49,1.584125792
635,631.263,715.52,1.584125792
636,631.293,715.52,1.584050512
637,631.293,715.49,1.584050512
638,631.244,715.502,1.584173473
639,631.274,715.502,1.584098189
640,631.324,715.551,1.58397273
641,631.294,715.49,1.584048003
642,631.263,715.49,1.584125792
643,631.263,715.49,1.584125792
644,631.325,715.551,1.583970221
645,631.244,715.257,1.584173473
