Time(s)	FPS
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8530	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
3.1170	0.32
3.0690	0.33
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8570	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8580	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8580	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8670	0.35
3.3230	0.30
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
